catchment,year,month,core_number,substrate_type,inorganic_g,organic_g,inorganic_gperm2,organic_gperm2,totalsediment_gperm2
99,1996,september,3,very fine,13.102400000000008,1.6263999999999896,524.0960000000003,65.05599999999959,589.1519999999999
99,1996,september,4,fine,1.4539,0.2791999999999999,58.156,11.167999999999996,69.324
99,1996,september,4,coarse,0.02810000000000001,0.08770000000000011,1.1240000000000003,3.5080000000000044,4.632000000000005
99,1996,september,4,very fine,9.910399999999989,1.702400000000015,396.41599999999954,68.0960000000006,464.51200000000017
99,1996,september,5,fine,1.0298,0.4544999999999999,41.192,18.179999999999996,59.372
99,1996,september,5,coarse,0.02170000000000005,0.13890000000000002,0.8680000000000019,5.556000000000001,6.424000000000003
99,1996,september,5,very fine,25.976800000000008,2.371200000000009,1039.0720000000003,94.84800000000035,1133.9200000000008
99,1996,september,6,fine,5.446000000000001,0.2405999999999997,217.84,9.623999999999988,227.464
99,1996,september,6,coarse,0.17879999999999985,0.07360000000000011,7.151999999999994,2.9440000000000044,10.095999999999998
99,1996,september,6,very fine,4.772799999999981,0.8360000000000091,190.9119999999992,33.44000000000037,224.35199999999958
99,1996,september,7,fine,1.2114000000000005,0.09389999999999964,48.45600000000002,3.755999999999986,52.212
99,1996,september,7,coarse,0.01489999999999991,0.02719999999999989,0.5959999999999963,1.0879999999999956,1.683999999999992
99,1996,september,7,very fine,5.715200000000012,0.9120000000000008,228.60800000000046,36.48000000000003,265.0880000000005
99,1996,september,8,fine,5.0302,0.3121999999999998,201.20799999999997,12.487999999999992,213.69599999999997
99,1996,september,8,coarse,0.14060000000000006,0.06719999999999993,5.624000000000002,2.687999999999997,8.312
99,1996,september,8,very fine,12.828800000000005,1.991200000000017,513.1520000000002,79.64800000000068,592.8000000000009
99,1996,september,9,fine,1.7012999999999998,0.2841,68.05199999999999,11.364,79.416
99,1996,september,9,coarse,0.06669999999999998,0.08710000000000016,2.6679999999999993,3.484000000000007,6.152000000000006
99,1996,september,9,very fine,15.443199999999988,1.8088000000000015,617.7279999999995,72.35200000000006,690.0799999999996
99,1996,september,10,fine,0.14789999999999992,0.1493000000000002,5.915999999999997,5.972000000000008,11.888000000000005
99,1996,september,10,coarse,0.00980000000000003,0.07130000000000014,0.3920000000000011,2.8520000000000056,3.244000000000007
99,1996,september,10,very fine,12.615999999999994,1.3072000000000248,504.63999999999976,52.28800000000099,556.9280000000008
99,1997,june,1,fine,3.1151999999999997,0.13870000000000005,124.60799999999999,5.548000000000002,130.156
99,1997,june,1,coarse,0.01260000000000016,0.02790000000000003,0.5040000000000063,1.1160000000000014,1.6200000000000077
99,1997,june,1,very fine,12.190399999999974,0.6232000000000326,487.6159999999989,24.928000000001305,512.5440000000002
99,1997,june,2,fine,2.9681999999999995,0.15800000000000036,118.72799999999998,6.3200000000000145,125.048
99,1997,june,2,coarse,0.0694999999999999,0.02330000000000009,2.779999999999996,0.932000000000004,3.7119999999999997
99,1997,june,2,very fine,28.606400000000026,1.6111999999999895,1144.256000000001,64.44799999999958,1208.7040000000006
99,1997,june,3,fine,2.4231000000000003,0.1872999999999996,96.924,7.491999999999982,104.41599999999998
