catchment,year,month,distance_m,width_m,rockyoutcrop_percent,boulder_percent,rubble_percent,gravel_percent,detritus_percent,sandsilt_percent,woodbarrier_count,rockbarrier_count,smallbranches_count,largebranches_count,totalbranches_count,trees_count,largeleafpack_count,smallleafpack_count,run_percent,riffle_percent,pool_percent,plungepool_percent,falls_percent,deciduous_percent,coniferous_percent,canopyarea_percent,slope,depth1_cm,depth2_cm,depth3_cm,depth4_cm,depth5_cm
31,1997,july,300,1.6,50,0,0,0,50,0,0,0,NA,NA,7,2,3,0,60,30,10,0,0,95,5,75,low,NA,NA,NA,NA,NA
31,1998,july,10,NA,NA,NA,NA,NA,NA,NA,0,0,64,3,NA,2,2,8,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA
31,1998,july,20,NA,NA,NA,NA,NA,NA,NA,0,0,250,4,NA,3,10,2,NA,NA,NA,NA,NA,95,5,5,NA,NA,NA,NA,NA,NA
31,1998,july,30,NA,NA,NA,NA,NA,NA,NA,0,0,150,7,NA,0,12,5,NA,NA,NA,NA,NA,100,0,5,NA,NA,NA,NA,NA,NA
31,1998,july,40,NA,NA,NA,NA,NA,NA,NA,0,0,75,2,NA,1,8,9,NA,NA,NA,NA,NA,100,0,5,NA,NA,NA,NA,NA,NA
31,1998,july,50,NA,NA,NA,NA,NA,NA,NA,0,0,46,5,NA,0,4,2,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA
31,1998,july,60,NA,NA,NA,NA,NA,NA,NA,0,0,82,2,NA,0,6,3,NA,NA,NA,NA,NA,100,0,15,NA,NA,NA,NA,NA,NA
31,1998,july,70,NA,NA,NA,NA,NA,NA,NA,0,0,74,0,NA,0,0,12,NA,NA,NA,NA,NA,100,0,30,NA,NA,NA,NA,NA,NA
31,1998,july,80,NA,NA,NA,NA,NA,NA,NA,1,0,26,2,NA,1,0,9,NA,NA,NA,NA,NA,100,0,80,NA,NA,NA,NA,NA,NA
31,1998,july,90,NA,NA,NA,NA,NA,NA,NA,2,0,200,0,NA,1,8,6,NA,NA,NA,NA,NA,100,0,50,NA,NA,NA,NA,NA,NA
31,1998,july,100,NA,NA,NA,NA,NA,NA,NA,1,0,85,2,NA,1,7,7,NA,NA,NA,NA,NA,100,0,20,NA,NA,NA,NA,NA,NA
31,1998,july,110,NA,NA,NA,NA,NA,NA,NA,0,0,118,4,NA,1,8,6,NA,NA,NA,NA,NA,95,5,10,NA,NA,NA,NA,NA,NA
31,1998,july,120,NA,NA,NA,NA,NA,NA,NA,0,0,92,2,NA,1,5,9,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA
31,1998,july,130,NA,NA,NA,NA,NA,NA,NA,0,0,76,2,NA,0,4,9,NA,NA,NA,NA,NA,100,0,5,NA,NA,NA,NA,NA,NA
31,1998,july,140,NA,NA,NA,NA,NA,NA,NA,0,0,58,3,NA,3,6,7,NA,NA,NA,NA,NA,100,0,20,NA,NA,NA,NA,NA,NA
31,1998,july,150,NA,NA,NA,NA,NA,NA,NA,1,0,46,2,NA,2,1,2,NA,NA,NA,NA,NA,100,0,40,NA,NA,NA,NA,NA,NA
31,1998,july,160,NA,NA,NA,NA,NA,NA,NA,0,0,62,4,NA,2,9,4,NA,NA,NA,NA,NA,100,0,5,NA,NA,NA,NA,NA,NA
31,1998,july,170,NA,NA,NA,NA,NA,NA,NA,0,0,65,6,NA,2,9,6,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA
31,1998,july,180,NA,NA,NA,NA,NA,NA,NA,0,0,55,4,NA,2,3,7,NA,NA,NA,NA,NA,100,0,5,NA,NA,NA,NA,NA,NA
31,1998,july,190,NA,NA,NA,NA,NA,NA,NA,0,0,38,4,NA,2,4,3,NA,NA,NA,NA,NA,100,0,5,NA,NA,NA,NA,NA,NA
31,1998,july,200,NA,NA,NA,NA,NA,NA,NA,0,0,25,0,NA,1,0,6,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA
31,1998,july,210,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA
31,1998,july,220,NA,NA,NA,NA,NA,NA,NA,0,0,66,3,NA,1,3,4,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA
31,1998,july,230,NA,NA,NA,NA,NA,NA,NA,0,0,42,0,NA,0,0,4,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA
31,1998,july,240,NA,NA,NA,NA,NA,NA,NA,0,0,36,4,NA,0,2,7,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA
31,1998,july,250,NA,NA,NA,NA,NA,NA,NA,0,0,100,3,NA,1,6,7,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA
31,1998,july,260,NA,NA,NA,NA,NA,NA,NA,0,0,52,2,NA,0,2,6,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA
31,1998,july,270,NA,NA,NA,NA,NA,NA,NA,0,0,66,4,NA,0,2,8,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA
31,1998,july,280,NA,NA,NA,NA,NA,NA,NA,0,0,53,2,NA,0,2,7,NA,NA,NA,NA,NA,100,0,10,NA,NA,NA,NA,NA,NA
31,1998,july,290,NA,NA,NA,NA,NA,NA,NA,0,0,42,3,NA,0,2,3,NA,NA,NA,NA,NA,100,0,15,NA,NA,NA,NA,NA,NA
31,1998,july,300,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,2,1,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA
31,1999,july,10,NA,NA,NA,NA,NA,NA,NA,0,0,42,3,NA,2,0,0,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA
31,1999,july,20,NA,NA,NA,NA,NA,NA,NA,0,0,500,4,NA,2,0,0,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA
