catchment,year,date_in,date_out,daysout_number,trap_number,sieve_size,inorganic_g,organic_g,organic_gperm2
34L,1997,1997-05-25,1997-08-18,86,6,fine,9.2181,3.1041999999999987,31.041999999999987
34L,1997,1997-05-25,1997-08-18,86,6,coarse,2.6240000000000006,5.046099999999999,50.46099999999999
34L,1997,NA,1997-05-23,NA,1,fine,60.1645,6.639300000000006,66.39300000000006
34L,1997,NA,1997-05-23,NA,1,coarse,40.9014,9.4908,94.908
34L,1997,NA,1997-05-23,NA,2,fine,NA,NA,NA
34L,1997,NA,1997-05-23,NA,2,coarse,NA,NA,NA
34L,1997,NA,1997-05-23,NA,3,fine,17.4919,2.0044000000000004,20.044000000000004
34L,1997,NA,1997-05-23,NA,3,coarse,13.907,2.354800000000001,23.54800000000001
34L,1997,NA,1997-05-23,NA,4,fine,16.055500000000002,1.5264999999999986,15.264999999999986
34L,1997,NA,1997-05-23,NA,4,coarse,25.9352,1.5908000000000015,15.908000000000015
34L,1997,NA,1997-05-23,NA,5,fine,NA,NA,NA
34L,1997,NA,1997-05-23,NA,5,coarse,NA,NA,NA
34L,1997,NA,1997-05-23,NA,6,fine,12.068700000000002,0.44939999999999714,4.493999999999971
34L,1997,NA,1997-05-23,NA,6,coarse,16.5334,0.6677999999999997,6.677999999999997
34L,1997,1997-08-20,1997-11-13,86,1,fine,0.5005000000000006,0.7416999999999998,7.416999999999998
34L,1997,1997-08-20,1997-11-13,86,1,coarse,0.9479999999999986,2.3962000000000003,23.962000000000003
34L,1997,1997-08-20,1997-11-13,86,2,fine,13.869100000000001,1.2583999999999982,12.583999999999982
34L,1997,1997-08-20,1997-11-13,86,2,coarse,6.3039000000000005,5.4228000000000005,54.22800000000001
34L,1997,1997-08-20,1997-11-13,86,3,fine,NA,NA,NA
34L,1997,1997-08-20,1997-11-13,86,3,coarse,NA,NA,NA
34L,1997,1997-08-20,1997-11-13,86,4,fine,1.1523000000000003,0.5203000000000007,5.2030000000000065
34L,1997,1997-08-20,1997-11-13,86,4,coarse,0.3153000000000006,0.9421,9.421000000000001
34L,1997,1997-08-20,1997-11-13,86,5,fine,1.2619999999999987,0.3628,3.628
34L,1997,1997-08-20,1997-11-13,86,5,coarse,0.662799999999999,0.7542000000000008,7.542000000000008
34L,1997,1997-08-20,1997-11-13,86,6,fine,5.4526,1.501900000000001,15.019000000000009
34L,1997,1997-08-20,1997-11-13,86,6,coarse,1.5396999999999998,2.5195000000000007,25.195000000000007
34L,1998,1998-04-30,1998-08-19,112,1,fine,4.2282,1.3530999999999995,13.530999999999995
34L,1998,1998-04-30,1998-08-19,112,1,coarse,1.0809,1.0884999999999998,10.884999999999998
34L,1998,1998-04-30,1998-08-19,112,2,fine,6.9590000000000005,1.8121999999999987,18.121999999999986
34L,1998,1998-04-30,1998-08-19,112,2,coarse,1.0364999999999998,1.9035,19.035
34L,1998,1998-04-30,1998-08-19,112,3,fine,9.5966,1.8301999999999996,18.301999999999996
34L,1998,1998-04-30,1998-08-19,112,3,coarse,2.3771,1.9151,19.151
34L,1998,1998-04-30,1998-08-19,112,4,fine,1.4737,0.7685,7.685
