catchment,year,replicate,position,date_in,date_out,daysout_number,initialmass_g,massloss_g
99UU,2004,4,surface,2004-01-14,2004-03-08,54,0.1168,0.0073
99UU,2004,6,surface,2004-01-14,2004-03-08,54,0.1129,0.0059
99UU,2004,8,surface,2004-01-14,2004-03-08,54,0.1254,0.0103
99UU,2004,1,surface,2004-01-14,2004-03-22,68,0.1167,0.0225
99UU,2004,3,surface,2004-01-14,2004-03-22,68,0.1175,0.0182
99UU,2004,5,surface,2004-01-14,2004-03-22,68,0.1194,0.0186
99UU,2004,7,surface,2004-01-14,2004-03-22,68,0.1149,0.0165
NCL,2001,1,surface,2001-05-31,2001-07-09,39,0.1913,0.0617
NCL,2001,2,surface,2001-05-31,2001-07-09,39,0.1616,0.0490
NCL,2001,3,surface,2001-05-31,2001-07-09,39,0.1926,0.0462
NCL,2001,4,surface,2001-05-31,2001-07-09,39,0.1425,0.0508
NCL,2001,5,surface,2001-05-31,2001-07-09,39,0.1598,0.0544
NCL,2001,1,surface,2001-05-31,2001-06-20,20,0.159,0.0258
NCL,2001,2,surface,2001-05-31,2001-06-20,20,0.1397,0.0200
NCL,2001,3,surface,2001-05-31,2001-06-20,20,0.1833,0.0228
NCL,2001,4,surface,2001-05-31,2001-06-20,20,0.1611,0.0224
NCL,2001,5,surface,2001-05-31,2001-06-20,20,0.172,0.0230
NCL,2001,1,surface,2001-09-20,2001-10-16,26,0.1445,0.0332
NCL,2001,2,surface,2001-09-20,2001-10-16,26,0.1661,0.0315
NCL,2001,3,surface,2001-09-20,2001-10-16,26,0.1866,0.0354
NCL,2001,4,surface,2001-09-20,2001-10-16,26,0.1856,0.0295
NCL,2001,5,surface,2001-09-20,2001-10-16,26,0.1472,0.0316
NCU,2001,2,surface,2001-05-31,2001-07-09,39,0.1791,0.0576
NCU,2001,3,surface,2001-05-31,2001-07-09,39,0.2055,0.0615
NCU,2001,4,surface,2001-05-31,2001-07-09,39,0.167,0.0514
NCU,2001,1,surface,2001-05-31,2001-06-20,20,0.1757,0.0262
NCU,2001,2,surface,2001-05-31,2001-06-20,20,0.154,0.0239
NCU,2001,3,surface,2001-05-31,2001-06-20,20,0.1702,0.0288
NCU,2001,4,surface,2001-05-31,2001-06-20,20,0.1859,0.0252
NCU,2001,5,surface,2001-05-31,2001-06-20,20,0.157,0.0281
NCU,2001,1,surface,2001-09-20,2001-10-16,26,0.1646,0.0344
NCU,2001,2,surface,2001-09-20,2001-10-16,26,0.1908,0.0325
NCU,2001,3,surface,2001-09-20,2001-10-16,26,0.1557,0.0345
NCU,2001,4,surface,2001-09-20,2001-10-16,26,0.1482,0.0305
NCU,2001,5,surface,2001-09-20,2001-10-16,26,0.1553,0.0371
